TotalFinishedArea,LivingUnits,TotalAppraisedValue,SaleYear,SaleMonth,PriceRatio,AssrLandUse_APT FOUR,AssrLandUse_CONDOMINIMUM,AssrLandUse_MULTI DWLG,AssrLandUse_ONE FAMILY,AssrLandUse_THREE FAMILY,AssrLandUse_TWO FAMILY
1566.0,1.0,233500,2024,3,1.3704496788008564,False,False,False,True,False,False
1566.0,1.0,233500,2023,8,0.7730192719486081,False,False,False,True,False,False
1913.0,1.0,230600,2021,5,0.6504770164787511,False,False,False,True,False,False
1913.0,1.0,230600,2022,2,1.0841283607979184,False,False,False,True,False,False
1764.0,1.0,231300,2024,4,1.1889321227842629,False,False,False,True,False,False
2073.20001,1.0,238200,2021,12,1.060033585222502,False,False,False,True,False,False
1751.5,1.0,161500,2023,10,1.4551083591331269,False,False,False,True,False,False
2064.60001,1.0,231200,2023,7,1.2975778546712802,False,False,False,True,False,False
935.0,1.0,153000,2023,12,0.5359477124183006,False,False,False,True,False,False
2569.875,3.0,257400,2020,11,1.0101010101010102,False,False,False,False,True,False
1812.0,1.0,215000,2023,6,1.3162790697674418,False,False,False,True,False,False
1606.5,1.0,219200,2024,7,1.3275547445255471,False,False,False,True,False,False
1775.0,1.0,231900,2021,7,1.0780508840017249,False,False,False,True,False,False
1528.0,1.0,210000,2023,5,0.7428571428571429,False,False,False,True,False,False
1528.0,1.0,210000,2024,3,1.3804761904761904,False,False,False,True,False,False
1774.75,1.0,150500,2022,12,1.0930232558139534,False,False,False,True,False,False
1473.0,1.0,231400,2024,8,1.365600691443388,False,False,False,True,False,False
1089.5,1.0,196800,2023,6,1.2449186991869918,False,False,False,True,False,False
899.0,1.0,177400,2023,6,1.1273957158962795,False,False,False,True,False,False
899.0,1.0,167100,2021,11,1.106523040095751,False,False,False,True,False,False
1015.00001,1.0,196400,2023,1,1.0692464358452138,False,False,False,True,False,False
1015.00001,1.0,196400,2024,9,1.323828920570265,False,False,False,True,False,False
1077.60001,1.0,180500,2023,8,1.2188365650969528,False,False,False,True,False,False
1024.0,1.0,186300,2022,12,1.3150831991411702,False,False,False,True,False,False
974.40001,1.0,178600,2020,12,1.0392497200447928,False,False,False,True,False,False
1190.40001,1.0,157800,2023,2,1.172370088719899,False,False,False,True,False,False
1024.0,1.0,178400,2024,5,1.2331838565022422,False,False,False,True,False,False
1839.0,1.0,235600,2020,11,0.5772495755517827,False,False,False,True,False,False
1839.0,1.0,235600,2022,4,1.1247877758913412,False,False,False,True,False,False
2285.40001,1.0,234400,2021,4,1.0497098976109216,False,False,False,True,False,False
1608.0,1.0,195200,2021,9,0.7914959016393442,False,False,False,True,False,False
1038.0,1.0,193900,2024,6,1.4698298091799895,False,False,False,True,False,False
1038.0,1.0,193900,2023,8,0.8767405879319237,False,False,False,True,False,False
1038.0,1.0,193900,2022,11,0.875662712738525,False,False,False,True,False,False
4044.25,1.0,344300,2021,11,0.8713331397037467,False,False,False,True,False,False
4061.0,3.0,328400,2024,2,1.3855054811205847,False,False,False,False,True,False
973.00001,1.0,174200,2022,9,1.320321469575201,False,False,False,True,False,False
2971.20001,2.0,244000,2023,7,1.2704918032786885,False,False,False,False,False,True
3429.75,3.0,245100,2021,2,0.7911056711546308,False,False,False,False,True,False
1654.0,1.0,192400,2023,12,1.4553014553014554,False,False,False,True,False,False
2304.25,1.0,203400,2021,12,1.130776794493609,False,False,False,True,False,False
