TotalFinishedArea,LivingUnits,SaleDate,SalePrice,TotalAppraisedValue,AssrLandUse,PriceRatio
4173.0,3.0,2022/05/24 00:00:00+00,295000.0,266100,THREE FAMILY,1.1086057872980082
2078.5,1.0,2020/11/18 00:00:00+00,210000.0,209200,ONE FAMILY,1.0038240917782026
1480.0,1.0,2023/12/15 00:00:00+00,312000.0,223700,ONE FAMILY,1.394725078229772
1179.5,1.0,2020/11/04 00:00:00+00,198000.0,193400,ONE FAMILY,1.0237849017580145
3855.0,3.0,2022/08/24 00:00:00+00,380000.0,302500,THREE FAMILY,1.256198347107438
3279.0,2.0,2024/09/06 00:00:00+00,227000.0,179700,TWO FAMILY,1.263216471897607
1516.0,1.0,2021/02/11 00:00:00+00,115000.0,130300,ONE FAMILY,0.8825786646201075
2733.0,2.0,2022/04/04 00:00:00+00,289900.0,264400,TWO FAMILY,1.096444780635401
1523.0,1.0,2021/11/01 00:00:00+00,225000.0,200100,ONE FAMILY,1.1244377811094453
1409.375,1.0,2020/12/18 00:00:00+00,207000.0,187000,ONE FAMILY,1.106951871657754
3922.5,2.0,2022/03/04 00:00:00+00,350000.0,309000,TWO FAMILY,1.132686084142395
1516.0,1.0,2022/03/09 00:00:00+00,250000.0,218400,ONE FAMILY,1.1446886446886446
1516.0,1.0,2020/10/20 00:00:00+00,145000.0,218400,ONE FAMILY,0.6639194139194139
1735.0,1.0,2021/06/28 00:00:00+00,221000.0,211300,ONE FAMILY,1.045906294368197
2242.0,1.0,2023/03/14 00:00:00+00,150000.0,213800,ONE FAMILY,0.7015902712815716
2910.0,2.0,2024/08/01 00:00:00+00,425000.0,295600,TWO FAMILY,1.4377537212449256
1410.0,1.0,2022/02/03 00:00:00+00,189000.0,182600,ONE FAMILY,1.0350492880613362
3815.0,3.0,2024/06/26 00:00:00+00,415000.0,303900,THREE FAMILY,1.3655807831523528
3844.0,3.0,2021/12/10 00:00:00+00,260000.0,266300,THREE FAMILY,0.976342470897484
3889.0,3.0,2022/07/05 00:00:00+00,320000.0,263900,THREE FAMILY,1.2125805229253506
4182.5,3.0,2024/07/31 00:00:00+00,430000.0,328000,THREE FAMILY,1.3109756097560976
1683.0,1.0,2021/07/09 00:00:00+00,180000.0,207900,ONE FAMILY,0.8658008658008658
1397.0,1.0,2024/02/05 00:00:00+00,210000.0,203500,ONE FAMILY,1.031941031941032
3081.60001,2.0,2021/09/09 00:00:00+00,260000.0,278200,TWO FAMILY,0.9345794392523364
2070.0,2.0,2023/09/28 00:00:00+00,365000.0,260700,TWO FAMILY,1.4000767165324128
3964.5,3.0,2024/06/21 00:00:00+00,457000.0,304800,THREE FAMILY,1.4993438320209973
3732.0,3.0,2021/10/14 00:00:00+00,340000.0,312400,THREE FAMILY,1.088348271446863
3738.0,3.0,2020/11/23 00:00:00+00,300000.0,301500,THREE FAMILY,0.9950248756218906
3618.0,3.0,2021/03/12 00:00:00+00,295000.0,289100,THREE FAMILY,1.0204081632653061
3618.0,3.0,2023/05/25 00:00:00+00,385000.0,289100,THREE FAMILY,1.3317191283292977
3900.0,3.0,2021/08/16 00:00:00+00,265000.0,309400,THREE FAMILY,0.8564964447317388
4054.5,3.0,2020/11/17 00:00:00+00,214000.0,204900,THREE FAMILY,1.0444119082479257
4197.0,3.0,2021/12/07 00:00:00+00,321500.0,308900,THREE FAMILY,1.0407898996438978
3100.75,2.0,2021/08/12 00:00:00+00,266000.0,253200,TWO FAMILY,1.0505529225908372
2184.0,2.0,2023/12/04 00:00:00+00,250000.0,188600,TWO FAMILY,1.325556733828208
3177.5,2.0,2021/08/06 00:00:00+00,188000.0,307000,TWO FAMILY,0.6123778501628665
1282.0,1.0,2023/03/06 00:00:00+00,225000.0,171500,ONE FAMILY,1.3119533527696794
2390.0,2.0,2020/10/15 00:00:00+00,229900.0,224500,TWO FAMILY,1.024053452115813
2390.0,2.0,2021/09/27 00:00:00+00,285000.0,268100,TWO FAMILY,1.063036180529653
3804.0,3.0,2023/12/28 00:00:00+00,350000.0,265200,THREE FAMILY,1.3197586726998491
3718.5,3.0,2020/10/28 00:00:00+00,260000.0,280300,THREE FAMILY,0.9275775954334642
2987.5,2.0,2022/12/15 00:00:00+00,335000.0,276700,TWO FAMILY,1.2106975063245393
1454.75,1.0,2020/12/14 00:00:00+00,95000.0,95300,CONDOMINIMUM,0.9968520461699895
